text,label
i never seen a asian or chinese bitch pregnant ..shit i throught they kids just spawn like call of duty &#128514 &#128557,1
"money, hoes, cars and clothes",1
user : lmaoo bitch what? url,1
watch yo hoe,1
user : great stathe morning! my daughter danced herself into the coffee table and gave herself a nice shiner... yea she's a wh&#8230,0
gay ass nigga &#128514 &#128514 bitch you thought you thought,1
"user you real quiet son, made charlie is shit and steelers too? loser.",1
i'm the crazy bitch that will call you 10 times in one hour,1
"no user : lmfao those trash tho user : candy corn j's sirhampton "" user : these hard? url",1
jacob u look like a monkey in dis url,0
bossd up on my old hoes,1
user : bunch of rappers boutta flood the internets w/ trash remixes,0
user : &#8220 user : pick one url the girl behind the bar who ain't being a hoe,1
user : fucc hoes dats how i feel,1
user : lmaooo the cleveland g00n sent drose to hell last night in his own home and this faggot user disappeared,1
"talk alot of shit, but if i want ill put u on the spot so don't test me bitch!",1
"user : jihadi-in-chief hussein urges restraint in fighting islamic butchers&#8252 &#65039 apparently, we should be nice to isis...we might hurt&#8230",0
&#8220 user : lover url old bitch &#128514,1
the solution is simple : buy a bitch,1
user find a new hillbilly!! #spiritweek!!,0
"user : user user user i dont have time for these childish games, just fight me bitch.",1
user : lebron doesn't turn 30 til december. he made 5 trips faster than kobe shaq mike or bird. he'll be back yal act like hes retirin&#8230,0
#explainananimeplotbadly boy with a monkey tail grows up to the the savior of a futuristic yet old earth,0
user raspy ass voice annoying bitch???,1
#whatimcraving peanut butter oreos &lt 3,0
user i hate birds! they just piss me off about the fact that i can't fly!,0
user user user i miss nyc!! nashville needs a pro al team. the closest is kc or tampa. that's pretty bad. the south is nl.,0
user user nice ears bitch you look like a god damn elephant..,1
"niggas only get fucked up only on weekends and i get fucked up daily, bitch i still do it bigger, not on my level",1
user user user lj hoes!!,1
#commonquestioniget why uou so ghetto?,0
"user : ""one man's trash is another man's treasure""...perfectly explains strippers with daddy issues.",0
i'm a bitch nigga? : that hurts my feelings.... and i'm like so serious.,1
user yeah we know about anglo-american principles.#slavery #hate #racism,0
now i am seeing chatter among jihadi fans taking credit for an alledged kidnapping of a frenchman in #algeria #france,0
"user i assume so, the tranny went out this morning. i have a maxima.",0
controlled the aux cord the whole two and a half hour drive home and didn't repeat a single song. bet your boyfriend couldn't do that bitch,1
what up fake ass hoe? i'm not gone fought you today. gimme my nigga hand back,1
that bitch got 631k followers but drive a honda &#128563,1
trash user : can the notorious b.i.g.&#8217 s son cj wallace rap? watch &amp vote here: url url,0
user ho no. without ur vote we lost the election. ak49 is taking oath as pm today. :-,0
""" user : i'm an early bird and i'm a night owl, so i'm wise and have worms.""",0
"tryna get to home like base to base to base, closet looking like planet of the bathing apes",0
&#8220 user : rico be bored then a bitch&#8221 damn boy you watch me more than these hoes do,1
"user : when someone is murdered, the police investigate the spouse first. and that tells you everything you need to know abo&#8230",0
#stateoftheunion would last 15mins if they let the president talk all that standing up clapping is for the birds,0
give me head an kiss yah nigga u a ill bitch,1
user : i'm that type of bitch to tell you i'm on my way knowing i just got in the shower,1
user biden was a winner last night? yea right like charlie sheen really was a a winner too.... #winning lol,0
"i tell u this tho, if/when u nigger women stagetting cornrows again...mannn just don't do it",1
